"Obs Sample ID","Biological Sample Label","Sample Date","Sample Time","Type of Sample","Related Avistaje ID","Taxon","Group","Site","Collected By","Sample Status","Export Carrier of Samples","Original Proyecto Primates Sample Number","Alternate Sample Name","Sample Loc M","Sample Loc Deg","Sample Loc Pto Ref","Storage Medium","Container","Individual","Sex Class","Age Class","Notes","Former Sample ID","Hormone Extraction By","Time Extracted","Sample on Ice","Amount Extracted (mg)","Number of Seeds in Sample","Number of Species in Sample","Names of Species in Sample","Auto Number Sample ID","Sample GPS DOP","Sample GPS Navigation","Sample GPS Avg Error","On The Fly Location","Hormone Tube Name","Parasites","Estimated Sample Volume"
"","",5/13/2017 0:00:00,12/30/1899 7:59:00,"Feces - Hormones","AV37238","Ateles","Ateles MQ-1","Tiputini, Yasuni","Ryan Manders","Stored at TBS",,,"","0","0","GPS PP8 07:59","EtOH","15 mL Falcon","Olio/","Male","Adult","",,,,0,,,,,31465772,,,,"","",0,"0.30 ml"
"OS13217","ABONDANO-16-001",8/1/2016 0:00:00,12/30/1899 14:47:26,"Feces - DNA","AV11066","Lagothrix","Lagothrix G","Tiputini, Yasuni","Laura Abondano","Stored at TBS",,,,"0","0","GPS PP11 14:47","RNA Later","8 mL Sarstedt","Individual","Male","Juvenile","Large JM3. Very dark/grayish fur color. Has small tiny testicles and lighter colored tip penis. Didn't see any obvious mom around. Was actually foraging alone. ",,,,0,,,,,31464921,,"3D","8",,,0,
"OS13218","ABONDANO-16-002",8/2/2016 0:00:00,12/30/1899 16:09:55,"Feces - DNA","AV11071","Saguinus","Unknown","Tiputini, Yasuni","Laura Abondano","Stored at TBS",,,,"0","0","Lago 775","RNA Later","8 mL Sarstedt","Að","Unknown","Unknown","Seems to have Los of parasites but not sure. ",,,,0,,,,,31464922,,,,,,0,
"OS13222","ABONDANO-16-003",8/6/2016 0:00:00,12/30/1899 10:34:00,"Feces - DNA","AV11078","Lagothrix","Lagothrix G","Tiputini, Yasuni","Laura Abondano","Stored at TBS",,,,"0","0","Q 150","NAP Buffer","8 mL Sarstedt","Gotica/","Female","Adult","Gotica. AFD with the im1/2. However, Guayaba was also moving close, but I'm almost sure it was Gotica.",,,,0,,,,,31464923,,,,,,0,
"OS13222","ABONDANO-16-004",8/6/2016 0:00:00,12/30/1899 11:30:54,"Feces - DNA","AV11078","Lagothrix","Lagothrix G","Tiputini, Yasuni","Laura Abondano","Stored at TBS",,,,"10","10","Chorongo 625","NAP Buffer","8 mL Sarstedt","SF/","Female","Subadult","Chloe 2015 sized SF. ",,,,0,,,,,31464924,,,,,,0,
"OS13222","ABONDANO-16-005",8/6/2016 0:00:00,12/30/1899 16:16:00,"Feces - DNA","AV11078","Lagothrix","Lagothrix G","Tiputini, Yasuni","Laura Abondano","Stored at TBS",,,,"0","0","LL-16-148","NAP Buffer","8 mL Sarstedt","Grulla/","Female","Adult","Almost certain it's from the patch on ribs AF (Grulla) but the JM2 (Gru) was really close. But didn't see him pooping. ",,,,0,,,,,31464925,,,,,,0,
"OS13224","ABONDANO-16-006",8/8/2016 0:00:00,12/30/1899 6:33:00,"Feces - DNA","AV11082","Lagothrix","Lagothrix G","Tiputini, Yasuni","Laura Abondano","Stored at TBS",,,,"0","0","Camp C","NAP Buffer","8 mL Sarstedt","Gordon/","Male","Adult","Saw the white dot over the right eyebrow. Must be Gordon. ",,,,0,,,,,31464926,,,,,,0,
"OS13224","ABONDANO-16-007",8/8/2016 0:00:00,12/30/1899 12:01:00,"Feces - DNA","AV11082","Lagothrix","Lagothrix G","Tiputini, Yasuni","Laura Abondano","Stored at TBS",,,,"0","0","GPS PP11 12:06","NAP Buffer","8 mL Sarstedt","Granadilla/","Female","Adult","Dark clitoris AF",,,,0,,,,,31464927,,"3D","3",,,0,
"OS13224","ABONDANO-16-008",8/8/2016 0:00:00,12/30/1899 15:05:00,"Feces - DNA","AV11082","Lagothrix","Lagothrix G","Tiputini, Yasuni","Laura Abondano","Stored at TBS",,,,"0","0","GPS PP11 15:08","NAP Buffer","8 mL Sarstedt","Guaponi/","Male","Subadult",,,,,0,,,,,31464928,,"3D","6",,,0,
"OS13225","ABONDANO-16-009",8/9/2016 0:00:00,12/30/1899 11:27:03,"Feces - DNA","AV11083","Lagothrix","Lagothrix G","Tiputini, Yasuni","Laura Abondano","Stored at TBS",,,,"0","0","PA-11-001","NAP Buffer","8 mL Sarstedt","JM3/","Male","Juvenile","JM3 with white spot on right cheek. His testes are starting to separate and he has a long pink penis.  Follows an oldish dark AF with small pink clitoris and butt hats. I think it may be granito, granadillas son.",,,,0,,,,,31464929,,,,,,0,
