Avistaje ID,Focal Sample ID,Focal Animal,Focal Age-Sex Class,Time Start,FS Rev by PI,FS Rev by Assistant,Focal Data Checked by PI,Focal Data Checked by Assistant,Inter-Observer Rel,Comments,Dictaphone File Name,Time End,Dictaphone Used,Transcribed,Date of Transcription,End Early,Focal Completion,Start Focal in Sleep Tree,Start Sleep Tree ID,End Focal in Sleep Tree,End Sleep Tree ID
AV34511,,Ana/,,12/30/1899 12:45:00,0,0,0,0,0,,,12/30/1899 14:45:00,,0,,0,,0,,0,
AV26599,FS12535,Sofia/,,12/30/1899 8:40:42,0,0,0,0,0,,,12/30/1899 15:40:42,,0,,0,,0,,0,
AV26604,FS12536,Vita/,,12/30/1899 8:05:18,0,0,0,0,0,,,12/30/1899 18:10:18,,0,,0,,0,,0,
AV26605,FS12537,Sofia/,,12/30/1899 8:35:26,0,0,0,0,0,,,12/30/1899 10:50:40,,0,,0,,0,,0,
AV26607,FS12538,Sofia/,,12/30/1899 8:50:34,0,0,0,0,0,,,12/30/1899 10:00:34,,0,,0,,0,,0,
AV26614,FS12539,Sofia/,,12/30/1899 8:40:00,0,0,0,0,0,,,12/30/1899 9:45:00,,0,,0,,0,,0,
AV26614,FS12540,Julieta,,12/30/1899 10:20:00,0,0,0,0,0,,,12/30/1899 12:57:40,,0,,0,,0,,0,
AV26614,FS12541,Sofia/,,12/30/1899 13:00:34,0,0,0,0,0,,,12/30/1899 18:10:36,,0,,0,,0,,0,
AV26619,FS12542,Sofia/,,12/30/1899 6:15:29,0,0,0,0,0,,,12/30/1899 7:40:05,,0,,0,,0,,0,
AV26627,FS12543,Nipa/,,12/30/1899 7:00:37,0,0,0,0,0,,,12/30/1899 10:15:40,,0,,0,,0,,0,
AV26627,FS12544,Ana/,,12/30/1899 10:20:00,0,0,0,0,0,,,12/30/1899 13:20:00,,0,,0,,0,,0,
AV26633,FS12545,Summer/,,12/30/1899 10:10:29,0,0,0,0,0,,,12/30/1899 12:25:00,,0,,0,,0,,0,
AV26633,FS12546,Lucas/,,12/30/1899 15:30:31,0,0,0,0,0,,,12/30/1899 17:20:00,,0,,0,,0,,0,
AV26635,FS12547,Julieta,,12/30/1899 9:10:00,0,0,0,0,0,,,12/30/1899 10:20:26,,0,,0,,0,,0,
