"Obs Sample ID","Observer","Date","Time Record Created","Comments","GPS Used","OS Rev by PI","OS Rev by Assistant"
"OS13200","Laura Abondano",7/15/2016 0:00:00,12/30/1899 13:15:20,"","None",0,0
"OS13201","Laura Abondano",7/16/2016 0:00:00,12/30/1899 13:15:52,"GPS was set to record every 0.10km. At 16:42 I set it up to record every 20 seconds. ","GPS PP11",0,0
"OS13202","Laura Abondano",7/17/2016 0:00:00,12/30/1899 5:38:59,"","GPS PP11",0,0
"OS13203","Laura Abondano",7/18/2016 0:00:00,12/30/1899 6:06:03,"","GPS PP11",0,0
"OS13204","Laura Abondano",7/19/2016 0:00:00,12/30/1899 6:00:10,"","GPS PP11",0,0
"OS13205","Laura Abondano",7/20/2016 0:00:00,12/30/1899 20:38:17,"","None",0,0
"OS13206","Laura Abondano",7/21/2016 0:00:00,12/30/1899 8:06:51,"","GPS PP11",0,0
"OS13207","Laura Abondano",7/22/2016 0:00:00,12/30/1899 5:56:31,"The females. 
AFD with ix1 has a pink globular clitoris. Also saw an AFD carrying a large IX but I think it is just Dax that sometimes still rides on Darlene. 
Sm keeps moving close to the AFD with ix1. 
Also an AF with no juv. Small pink clitoris 
Still can't see collar in AFD/ix1. She has more like a falt cltoris. ","GPS PP11",0,0
"OS13208","Laura Abondano",7/23/2016 0:00:00,12/30/1899 5:24:26,"","GPS PP11",0,0
"OS13209","Laura Abondano",7/24/2016 0:00:00,12/30/1899 20:03:01,"","None",0,0
"OS13210","Laura Abondano",7/25/2016 0:00:00,12/30/1899 20:04:39,"","None",0,0
"OS13211","Laura Abondano",7/26/2016 0:00:00,12/30/1899 5:51:52,"Tapir at 6:13!!!!!!! Right on Matapalo 50. Crazy, I dreamt last night that I saw a tapir right next to my cabin!","GPS PP11",0,0
"OS13212","Laura Abondano",7/27/2016 0:00:00,12/30/1899 5:31:22,"","GPS PP11",0,0
"OS13213","Laura Abondano",7/28/2016 0:00:00,12/30/1899 7:15:17,"","GPS PP11",0,0
"OS13214","Laura Abondano",7/29/2016 0:00:00,12/30/1899 13:22:22,"","None",0,0
"OS13215","Laura Abondano",7/30/2016 0:00:00,12/30/1899 11:02:56,"","GPS PP11",0,0
"OS13216","Laura Abondano",7/31/2016 0:00:00,12/30/1899 5:35:48,"","GPS PP11",0,0
"OS13217","Laura Abondano",8/1/2016 0:00:00,12/30/1899 7:43:13,"","GPS PP11",0,0
"OS13218","Laura Abondano",8/2/2016 0:00:00,12/30/1899 7:05:43,"","None",0,0
"OS13219","Laura Abondano",8/3/2016 0:00:00,12/30/1899 8:28:58,"","None",0,0
"OS13220","Laura Abondano",8/4/2016 0:00:00,12/30/1899 8:13:02,"","GPS PP11",0,0
"OS13221","Laura Abondano",8/5/2016 0:00:00,12/30/1899 18:51:46,"","None",0,0
"OS13222","Laura Abondano",8/6/2016 0:00:00,12/30/1899 5:57:42,"","GPS PP11",0,0
"OS13223","Laura Abondano",8/7/2016 0:00:00,12/30/1899 10:35:35,"","GPS PP11",0,0
"OS13224","Laura Abondano",8/8/2016 0:00:00,12/30/1899 5:55:37,"","GPS PP11",0,0
"OS13225","Laura Abondano",8/9/2016 0:00:00,12/30/1899 5:43:16,"","GPS PP11",0,0
"OS13226","Laura Abondano",8/10/2016 0:00:00,12/30/1899 9:38:23,"","None",0,0
"OS13227","Laura Abondano",8/11/2016 0:00:00,12/30/1899 11:48:59,"","None",0,0
"OS13228","Laura Abondano",8/12/2016 0:00:00,12/30/1899 5:52:20,"","GPS PP16",0,0
"OS13229","Laura Abondano",8/13/2016 0:00:00,12/30/1899 5:46:13,"","GPS PP16",0,0
"OS13230","Laura Abondano",8/14/2016 0:00:00,12/30/1899 23:09:18,"","None",0,0
"OS13231","Laura Abondano",8/15/2016 0:00:00,12/30/1899 5:59:58,"","GPS PP16",0,0
"OS13232","Laura Abondano",8/16/2016 0:00:00,12/30/1899 5:55:05,"","GPS PP16",0,0
"OS13233","Laura Abondano",8/17/2016 0:00:00,12/30/1899 8:41:38,"","None",0,0
"OS13234","Laura Abondano",8/18/2016 0:00:00,12/30/1899 14:30:16,"","GPS PP16",0,0
"OS13235","Laura Abondano",8/19/2016 0:00:00,12/30/1899 5:51:25,"","GPS PP16",0,0
"OS13236","Laura Abondano",8/20/2016 0:00:00,12/30/1899 5:44:29,"","GPS PP16",0,0
"OS13237","Laura Abondano",8/21/2016 0:00:00,12/30/1899 21:46:53,"","None",0,0
"OS13238","Laura Abondano",8/22/2016 0:00:00,12/30/1899 21:50:23,"","None",0,0
"OS13239","Laura Abondano",8/23/2016 0:00:00,12/30/1899 5:54:07,"","GPS PP16",0,0
"OS13240","Laura Abondano",8/24/2016 0:00:00,12/30/1899 5:31:21,"","GPS PP16",0,0
"OS13241","Laura Abondano",8/25/2016 0:00:00,12/30/1899 8:43:56,"","None",0,0
"OS13242","Laura Abondano",8/26/2016 0:00:00,12/30/1899 10:34:02,"","GPS PP16",0,0
"OS13243","Laura Abondano",8/27/2016 0:00:00,12/30/1899 5:46:52,"","GPS PP16",0,0
"OS13244","Laura Abondano",8/28/2016 0:00:00,12/30/1899 5:26:29,"","GPS PP16",0,0
"OS13245","Laura Abondano",8/29/2016 0:00:00,12/30/1899 6:25:22,"","None",0,0
"OS13246","Laura Abondano",8/30/2016 0:00:00,12/30/1899 12:32:07,"","GPS PP16",0,0
"OS13247","Laura Abondano",8/31/2016 0:00:00,12/30/1899 5:30:53,"","GPS PP16",0,0
"OS13248","Laura Abondano",9/1/2016 0:00:00,12/30/1899 5:38:15,"","GPS PP16",0,0
"OS13249","Laura Abondano",9/2/2016 0:00:00,12/30/1899 5:43:05,"","GPS PP16",0,0
